n_games,score,best,avg,epsilon
215,23,55,10.5628,5
216,4,55,10.5324,5
217,16,55,10.5576,5
218,4,55,10.5275,5
219,31,55,10.6210,5
220,21,55,10.6682,5
221,18,55,10.7014,5
222,3,55,10.6667,5
223,3,55,10.6323,5
224,25,55,10.6964,5
225,30,55,10.7822,5
226,7,55,10.7655,5
227,9,55,10.7577,5
228,4,55,10.7281,5
229,27,55,10.7991,5
230,4,55,10.7696,5
231,18,55,10.8009,5
232,7,55,10.7845,5
233,23,55,10.8369,5
234,12,55,10.8419,5
235,24,55,10.8979,5
236,3,55,10.8644,5
237,23,55,10.9156,5
238,3,55,10.8824,5
239,4,55,10.8536,5
240,7,55,10.8375,5
241,17,55,10.8631,5
242,17,55,10.8884,5
243,9,55,10.8807,5
244,3,55,10.8484,5
245,9,55,10.8408,5
246,9,55,10.8333,5
247,19,55,10.8664,5
248,7,55,10.8508,5
249,6,55,10.8313,5
250,25,55,10.8880,5
251,10,55,10.8845,5
252,7,55,10.8690,5
253,6,55,10.8498,5
254,29,55,10.9213,5
255,11,55,10.9216,5
256,23,55,10.9688,5
257,28,55,11.0350,5
258,26,55,11.0930,5
259,8,55,11.0811,5
260,4,55,11.0538,5
261,13,55,11.0613,5
262,1,55,11.0229,5
263,25,55,11.0760,5
264,21,55,11.1136,5
265,23,55,11.1585,5
266,5,55,11.1353,5
267,2,55,11.1011,5
268,38,55,11.2015,5
269,7,55,11.1859,5
270,11,55,11.1852,5
271,6,55,11.1661,5
272,13,55,11.1728,5
273,5,55,11.1502,5
274,28,55,11.2117,5
275,12,55,11.2145,5
276,8,55,11.2029,5
277,37,55,11.2960,5
278,16,55,11.3129,5
279,21,55,11.3477,5
280,33,55,11.4250,5
281,23,55,11.4662,5
282,28,55,11.5248,5
283,6,55,11.5053,5
284,8,55,11.4930,5
285,9,55,11.4842,5
286,23,55,11.5245,5
287,16,55,11.5401,5
288,26,55,11.5903,5
289,22,55,11.6263,5
290,23,55,11.6655,5
291,15,55,11.6770,5
292,7,55,11.6610,5
293,0,55,11.6212,5
294,15,55,11.6327,5
295,17,55,11.6508,5
296,8,55,11.6385,5
297,29,55,11.6970,5
298,2,55,11.6644,5
299,27,55,11.7157,5
300,28,55,11.7700,5
301,15,55,11.7807,5
302,25,55,11.8245,5
303,0,55,11.7855,5
304,7,55,11.7697,5
305,15,55,11.7803,5
306,29,55,11.8366,5
307,29,55,11.8925,5
308,29,55,11.9481,5
309,9,55,11.9385,5
310,12,55,11.9387,5
311,8,55,11.9260,5
312,11,55,11.9231,5
313,12,55,11.9233,5
314,13,55,11.9268,5
315,17,55,11.9429,5
316,16,55,11.9557,5
317,20,55,11.9811,5
318,6,55,11.9623,5
319,7,55,11.9467,5
320,41,55,12.0375,5
321,7,55,12.0218,5
322,22,55,12.0528,5
323,27,55,12.0991,5
324,24,55,12.1358,5
325,2,55,12.1046,5
326,29,55,12.1564,5
327,24,55,12.1927,5
328,7,55,12.1768,5
329,31,55,12.2340,5
330,34,55,12.3000,5
331,7,55,12.2840,5
332,35,55,12.3524,5
333,5,55,12.3303,5
334,6,55,12.3114,5
335,25,55,12.3493,5
336,29,55,12.3988,5
337,4,55,12.3739,5
338,16,55,12.3846,5
339,19,55,12.4041,5
340,13,55,12.4059,5
341,15,55,12.4135,5
342,24,55,12.4474,5
343,19,55,12.4665,5
344,24,55,12.5000,5
